"ProcessId","ParentProcessId","Name","ExecutablePath","CommandLine"
"10252","9080","CrossDeviceResume.exe","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"
"10884","8976","crashpad_handler.exe","C:\Program Files\DeskIn\crashpad_handler.exe","""C:\Program Files\DeskIn\crashpad_handler.exe"" --no-rate-limit ""--database=C:\Program Files\DeskIn\.sentry-native"" ""--metrics-dir=C:\Program Files\DeskIn\.sentry-native"" --url=http://apm-sentry.deskin.sg:9000/api/4/minidump/?sentry_client=sentry.native/0.12.1&sentry_key=94ec38a72b996450c822c47adc477a07 ""--attachment=C:\Program Files\DeskIn\.sentry-native\6d826f99-ed5f-4538-89c1-b3148bb65271.run\__sentry-event"" ""--attachment=C:\Program Files\DeskIn\.sentry-native\6d826f99-ed5f-4538-89c1-b3148bb65271.run\__sentry-breadcrumb1"" ""--attachment=C:\Program Files\DeskIn\.sentry-native\6d826f99-ed5f-4538-89c1-b3148bb65271.run\__sentry-breadcrumb2"" --initial-client-data=0x714,0x718,0x71c,0x6f0,0x720,0x7ffa9f7e8ae8,0x7ffa9f7e8b00,0x7ffa9f7e8b18"
"11040","1288","StartMenuExperienceHost.exe","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca"
"11108","1288","SearchHost.exe","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
"9492","1116","vmcompute.exe",,
"10512","1288","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"10904","1116","svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc"
"11340","1288","Widgets.exe","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.17301.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","""C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.17301.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"" -ServerName:Microsoft.Windows.DashboardServer"
"11384","1116","svchost.exe",,
"11584","1116","svchost.exe",,
